player_id,family_name,given_name,total_games_played,n_minutes_played,n_tournaments,n_tournaments_played,total_final_match_played,n_wc_wins,total_goals,total_penalty_scored,0
P-01728,Overath,Wolfgang,19,1764,3,3,2,1,3,0,3
P-07436,Taffarel,Cláudio,18,1680,3,3,2,1,0,0,3
P-00148,Dunga,not applicable,18,1675,3,3,2,1,0,0,3
P-06099,Barthez,Fabien,17,1614,3,3,2,1,0,0,3
P-07393,Berthold,Thomas,18,1564,3,3,2,1,0,0,3
P-06808,Carlos,Roberto,17,1560,3,3,2,1,1,0,3
P-01770,Thuram,Lilian,16,1524,3,3,2,1,2,0,3
P-06983,Ruggeri,Oscar,16,1412,3,3,2,1,1,0,3
P-05795,Littbarski,Pierre,18,1180,3,3,2,1,3,0,3
