match_name,total_teams_score,yellow_card,red_card,substitutions,n_same_squad_match,0
Algeria v Slovenia,1,6,1,6,1,1
Algeria v United States,1,7,1,6,1,1
Angola v Mexico,0,7,1,6,1,1
Argentina v Jamaica,5,5,1,6,1,1
Argentina v Serbia and Montenegro,6,4,1,6,1,1
Argentina v Soviet Union,2,5,1,4,1,1
Argentina v Yugoslavia,0,7,1,3,1,1
Australia v Chile,4,5,1,10,2,1
Australia v Germany,4,5,1,6,1,1
Australia v Ghana,2,4,1,6,1,1
Australia v Italy,1,6,1,4,1,1
Austria v United States,3,9,1,4,1,1
Belgium v Iraq,3,7,1,3,1,1
Belgium v Netherlands,1,8,1,9,2,1
Belgium v Uruguay,4,4,1,4,1,1
Bolivia v Germany,1,6,1,4,1,1
Bolivia v South Korea,0,8,1,3,1,1
Brazil v Cameroon,8,6,1,10,2,1
Brazil v Ghana,3,9,1,5,1,1
Brazil v Ivory Coast,4,6,1,5,1,1
Bulgaria v Paraguay,0,6,1,5,1,1
Cameroon v Croatia,4,1,1,6,1,1
Canada v Hungary,2,4,1,4,1,1
China v Turkey,3,5,1,6,1,1
Colombia v Japan,8,5,1,12,2,1
Costa Rica v Greece,2,8,1,6,1,1
Costa Rica v Uruguay,4,3,1,6,1,1
Croatia v Germany,3,4,1,3,1,1
Czech Republic v Ghana,2,7,1,6,1,1
Czech Republic v Italy,2,4,1,6,1,1
Czechoslovakia v France,2,2,1,4,1,1
Czechoslovakia v United States,6,4,1,4,1,1
Czechoslovakia v West Germany,5,7,1,3,2,1
Denmark v Senegal,2,6,1,6,1,1
Denmark v Uruguay,10,8,1,10,2,1
Denmark v West Germany,2,5,1,4,1,1
Ecuador v France,0,1,1,6,1,1
Egypt v Hungary,6,0,1,0,1,1
England v Morocco,0,4,1,4,1,1
France v Honduras,3,8,1,6,1,1
Germany v Paraguay,1,5,1,6,1,1
Germany v Poland,1,8,1,6,1,1
Germany v Serbia,1,10,1,6,1,1
Ghana v Serbia,1,7,1,6,1,1
Ghana v Uruguay,2,6,1,5,1,1
Greece v Japan,0,6,1,5,1,1
Honduras v Yugoslavia,1,2,1,3,1,1
Hungary v Wales,5,0,1,0,2,1
Italy v Nigeria,3,9,1,4,1,1
Mexico v Portugal,3,10,1,6,1,1
Mexico v United States,2,10,1,6,1,1
Morocco v Scotland,3,2,1,5,1,1
Northern Ireland v Spain,4,5,1,8,2,1
Peru v Romania,4,0,1,0,1,1
Portugal v Spain,7,4,1,12,2,1
Romania v Sweden,4,7,1,3,1,1
Romania v Switzerland,5,3,1,4,1,1
Russia v Sweden,4,7,1,4,1,1
Russia v Uruguay,3,5,1,6,1,1
Scotland v Uruguay,7,5,1,4,2,1
South Africa v Uruguay,3,2,1,5,1,1
South Korea v Togo,3,7,1,6,1,1
South Korea v Uruguay,4,10,1,9,2,1
Soviet Union v West Germany,3,1,1,0,1,1
Spain v Ukraine,4,2,1,6,1,1
Sweden v Switzerland,1,3,1,5,1,1
Sweden v Trinidad and Tobago,0,5,1,5,1,1
Tunisia v Ukraine,1,9,1,6,1,1
United Arab Emirates v Yugoslavia,5,6,1,4,1,1
Yugoslavia v Zaire,9,1,1,2,1,1
